wine_index,pH,residual_sugar,sulphates,density,chlorides,alcohol,quality
1,3.51,1.9,0.56,0.9978,0.076,9.4,5
2,3.2,2.6,0.68,0.9968,0.098,9.8,5
3,3.26,2.3,0.65,0.997,0.092,9.8,5
4,3.16,1.9,0.58,0.998,0.075,9.8,6
5,3.51,1.9,0.56,0.9978,0.076,9.4,5
6,3.51,1.8,0.56,0.9978,0.075,9.4,5
7,3.3,1.6,0.46,0.9964,0.069,9.4,5        
8,3.39,1.2,0.47,0.9946,0.065,10,7
9,3.36,2,0.57,0.9968,0.073,9.5,7
10,3.35,6.1,0.8,0.9978,0.071,10.5,5
11,3.28,1.8,0.54,0.9959,0.097,9.2,5
12,3.35,6.1,0.8,0.9978,0.071,10.5,5
13,3.58,1.6,0.52,0.9943,0.089,9.9,5
14,3.26,1.6,1.56,0.9974,0.114,9.1,5
15,3.16,3.8,0.88,0.9986,0.176,9.2,5
16,3.17,3.9,0.93,0.9986,0.17,9.2,5
17,3.3,1.8,0.75,0.9969,0.092,10.5,7
18,3.11,1.7,1.28,0.9968,0.368,9.3,5
19,3.38,4.4,0.5,0.9974,0.086,9,4
20,3.04,1.8,1.08,0.9969,0.341,9.2,6
21,3.39,1.8,0.53,0.9968,0.077,9.4,6
22,3.52,2.3,0.65,0.9982,0.082,9.7,5
23,3.17,1.6,0.91,0.9966,0.106,9.5,5
24,3.17,2.3,0.53,0.9968,0.084,9.4,5
25,3.43,2.4,0.63,0.9968,0.085,9.7,6
26,3.34,1.4,0.56,0.9955,0.08,9.3,5
27,3.28,1.8,0.59,0.9962,0.08,9.5,5
28,3.17,1.6,0.91,0.9966,0.106,9.5,5
29,3.47,1.9,0.55,0.9972,0.08,9.4,5
30,3.38,2,0.59,0.9964,0.082,9.8,6
31,3.35,2.4,0.54,0.9958,0.089,10.1,5
32,3.46,2.5,0.57,0.9966,0.105,10.6,6
33,3.17,2.3,0.66,0.9966,0.083,9.8,5
34,3.45,10.7,0.52,0.9993,0.073,9.4,6
35,3.38,1.8,0.55,0.9957,0.103,9.2,5
36,3.4,5.5,0.55,0.9986,0.086,9.6,6
37,3.42,2.4,0.6,0.9975,0.086,10.8,6
38,3.23,2.1,0.73,0.9968,0.066,9.7,7
39,3.5,1.5,0.48,0.994,0.172,9.8,4
40,3.33,5.9,0.83,0.9978,0.074,10.5,5
41,3.33,5.9,0.83,0.9978,0.074,10.5,5
42,3.26,2.8,0.51,0.9976,0.088,9.3,4
43,3.21,2.6,0.9,0.9968,0.332,10.5,6
44,3.3,2.2,1.2,0.9968,0.069,10.3,5
45,3.48,1.8,0.52,0.9962,0.05,9.5,5
46,3.9,2.1,0.56,0.9934,0.054,13.1,4
47,3.25,2.2,0.73,0.997,0.114,9.2,5
48,3.25,1.6,0.58,0.9969,0.113,9.5,5
49,3.34,1.6,0.56,0.9958,0.066,9.2,5
50,3.32,1.4,0.58,0.9954,0.074,9.2,5
51,3.15,1.7,0.74,0.9971,0.074,9.2,5
52,3.4,2.2,0.63,0.9956,0.069,9.4,6
53,3.39,2.1,0.64,0.9955,0.068,9.4,6
54,3.2,3,0.56,0.997,0.081,9.4,5
55,3.17,2.8,0.63,0.9955,0.11,10.2,6
56,3.34,3.8,0.53,0.9978,0.084,9.5,5
57,3.04,3.4,0.63,0.9971,0.07,9.6,5
58,3.26,5.1,0.77,0.9983,0.111,9.4,5
59,3.43,2.3,0.59,0.9975,0.076,10,5
60,3.41,2.4,0.54,0.9962,0.074,9.4,6
61,3.44,2.2,0.64,0.998,0.079,9.2,5
62,3.21,1.8,0.71,0.9968,0.115,9.3,5
63,3.38,1.9,0.62,0.9968,0.085,9.5,7
64,3.39,2,0.57,0.9966,0.081,9.8,5
65,3.41,4.65,0.39,0.9962,0.086,10.9,5
66,3.41,4.65,0.39,0.9962,0.086,10.9,5
67,3.42,1.5,0.58,0.9968,0.079,9.6,5
68,3.44,1.6,0.58,0.9962,0.076,10.7,5
69,3.28,2,0.79,0.9969,0.074,10.7,5
70,3.34,1.9,0.95,0.9962,0.074,10.5,6
71,3.32,1.9,0.54,0.9967,0.076,9.5,6
72,3.32,2.1,0.48,0.9962,0.088,9.5,5
73,3.31,1.9,0.48,0.9961,0.084,9.5,5
74,3.31,2.1,0.53,0.9976,0.084,9.2,4
75,3.28,2.5,0.82,0.9984,0.094,9.6,5
76,3.54,2.2,0.66,0.9986,0.093,10.5,5
77,3.54,2.2,0.66,0.9986,0.093,10.5,5
78,3.52,2.4,0.55,0.9966,0.104,10.7,6
79,3.38,2,0.52,0.9958,0.086,10.1,5
80,3.16,1.5,1.12,0.9972,0.08,9.1,4
81,3.41,1.6,0.56,0.9958,0.069,9.2,5
82,3.13,1.9,1.28,0.9974,0.464,9.4,5
83,3.36,2,0.57,0.997,0.086,9.1,5
84,3.16,1.8,1.14,0.9969,0.401,9.4,5
85,3.44,1.8,0.78,0.9959,0.069,10.3,6
86,3.41,2.2,0.59,0.9961,0.076,10.1,5
87,2.93,1.9,1.95,0.9972,0.11,9.9,6
88,3.39,1.9,0.64,0.9966,0.062,9.6,5
89,3.14,2.1,1.22,0.9978,0.107,9.5,5
90,3.48,1.8,0.53,0.9978,0.076,9,5
91,3.23,1.9,0.54,0.9964,0.079,9.5,5
92,2.93,1.9,1.95,0.9972,0.11,9.9,6
93,2.93,2,1.98,0.9972,0.11,9.8,5
94,3.39,1.9,0.64,0.9966,0.062,9.6,5
95,3.75,1.4,0.48,0.9938,0.045,10.5,4
96,3.85,2.3,0.6,0.9932,0.058,12.9,6
97,3.45,3,0.56,0.9965,0.102,10.7,5
98,3.25,2,0.63,0.9963,0.07,9.2,5
99,3.39,2.5,0.56,0.9967,0.079,9.8,5
100,3.3,1.9,0.59,0.9972,0.08,9,6
101,3.4,2.1,0.61,0.9972,0.084,10.2,6
102,3.31,1.9,0.56,0.9959,0.075,10.4,6
103,3.3,1.9,0.59,0.9972,0.08,9,6
104,3.29,2.1,0.51,0.9967,0.077,9.2,5
105,3.33,2.2,0.48,0.996,0.07,9.4,5
106,3.29,2.1,0.51,0.9967,0.077,9.2,5
107,3.08,1.7,1.31,0.9973,0.467,9.3,5
108,3.46,1.7,0.79,0.9969,0.088,9.3,5
109,3.37,2.5,0.8,0.9976,0.091,9.6,6
110,3.21,2,0.69,0.9969,0.122,9.3,5
111,3.19,1.8,0.93,0.9964,0.104,9.5,5
112,3.15,2.2,0.66,0.9964,0.084,9.8,5
113,3.15,2.2,0.66,0.9964,0.085,9.8,5
114,3.32,2.3,0.67,0.9988,0.08,9.7,6
115,3.19,1.8,0.93,0.9964,0.104,9.5,5
116,3.07,2.2,0.63,0.9966,0.09,10.5,6
117,3.39,1.9,0.61,0.9978,0.077,10,6
118,3.37,2,0.5,0.997,0.082,9.4,6
119,3.21,2.2,0.6,0.9962,0.119,10.9,6
120,3.34,1.8,0.54,0.9959,0.097,9.2,6
121,3.3,1.7,0.57,0.9962,0.178,9,5
122,3.21,2.2,0.6,0.9962,0.119,10.9,6
123,3.49,2.5,0.52,0.998,0.075,9.2,5
124,3.44,2.6,0.53,0.9976,0.08,9.5,5
125,3.39,1.6,0.48,0.996,0.082,9.5,5
126,3.16,1.9,0.7,0.9984,0.146,9.4,5
127,3.53,1.7,0.49,0.9964,0.081,10.9,5
128,3.54,1.8,0.48,0.9964,0.082,10.9,5
129,3.42,1.8,0.92,0.9962,0.065,10.5,7
130,3.42,1.8,0.57,0.9955,0.072,9.4,5
131,3.24,2,0.66,0.9968,0.118,9.4,5
132,3.63,2.3,0.63,0.9937,0.049,13,5
133,3.63,2.3,0.63,0.9937,0.049,13,5
134,3.4,1.5,0.58,0.9952,0.06,9.8,6
135,3.22,2.2,0.55,0.9959,0.084,9.9,6
136,3.19,1.9,0.82,0.9965,0.09,9.6,5
137,3.23,1.8,0.77,0.9968,0.089,9.5,5
138,3.48,2,0.64,0.9972,0.081,9.2,5
139,3.33,2.1,0.54,0.9962,0.081,9.5,5
140,3.32,2,0.54,0.9962,0.081,9.5,5
141,3.19,1.9,0.82,0.9965,0.09,9.6,5
142,3.23,1.8,0.77,0.9968,0.089,9.5,5
143,3.68,1.8,0.79,0.9916,0.05,14,6
144,3.34,1.7,0.58,0.9954,0.066,9.4,5
145,3.68,1.8,0.79,0.9916,0.05,14,6
146,3.17,1.8,0.62,0.9968,0.117,9.4,5
147,3.54,1.8,0.52,0.9944,0.087,10,5
148,3.11,1.6,0.8,0.9968,0.236,9.3,5
149,3.42,2.3,0.58,0.9959,0.074,10.2,6
150,3.53,2.8,0.61,0.9975,0.089,10.5,6
151,3.33,2.1,0.53,0.9958,0.077,10.3,6
152,2.74,3.4,2,0.9996,0.61,9.4,4
153,3.35,1.8,0.54,0.995,0.095,10.1,5
154,3.35,1.8,0.54,0.995,0.095,10.1,5
155,3.42,5.5,0.72,0.9973,0.07,10.5,5
156,3.42,5.5,0.71,0.9973,0.071,10.5,5
157,3.42,5.5,0.72,0.9973,0.07,10.5,5
158,3.42,5.5,0.71,0.9973,0.071,10.5,5
159,3.48,2.2,0.5,0.9969,0.073,9.3,5
160,3.59,1.9,0.57,0.9968,0.079,9.3,6
161,3.2,2,0.56,0.9959,0.09,9.6,5
162,3.17,1.3,1.08,0.9965,0.072,9.2,4
163,3.33,1.7,0.56,0.9964,0.076,10,6
164,3.37,7.3,0.49,0.9982,0.07,9.4,5
165,3.37,7.2,0.49,0.9981,0.07,9.4,5
166,3.19,1.7,0.62,0.9961,0.1,9.5,5
167,3.34,2.1,0.52,0.9956,0.085,10.2,5
168,3.37,1.6,0.48,0.9956,0.072,9,4
169,3.47,2.1,0.55,0.9953,0.089,10.4,6
170,3,1.8,1.59,0.9964,0.36,9.5,5
171,3.36,1.8,0.33,0.9972,0.058,9.1,4
172,3.29,2,0.61,0.9972,0.073,9.2,6
173,3.29,2,0.61,0.9972,0.073,9.2,6
174,3.42,1.9,0.57,0.9961,0.068,11.5,6
175,3.33,2,0.47,0.9961,0.08,9.5,5
176,3.35,1.5,0.78,0.9958,0.085,9.5,5
177,3.33,2,0.47,0.9961,0.08,9.5,5
178,3.58,2.3,0.61,0.9972,0.087,10.5,6
179,3.48,2.5,0.56,0.9969,0.068,9.6,5
180,3.19,2.4,0.59,0.9969,0.067,9.5,5
181,3.19,2.4,0.59,0.9969,0.067,9.5,5
182,3.12,2,1.02,0.9972,0.27,9.3,5
183,3.44,2.5,0.52,0.9972,0.076,9.3,5
184,3.54,1.8,0.58,0.9971,0.077,9.3,5
185,3.52,1.9,0.58,0.997,0.079,9.3,6
186,3.26,2,0.53,0.9971,0.111,9.7,5
187,3.34,2,0.55,0.9972,0.082,9.2,5
188,3.39,2.6,0.49,0.9976,0.084,9.7,5
189,3.2,2,0.55,0.9968,0.084,9.5,5
190,3.2,1.9,0.55,0.9968,0.082,9.5,5
191,3.23,2.9,0.62,0.9976,0.077,9.4,5
192,3.57,1.9,0.62,0.9974,0.074,9.8,6
193,3.28,3.8,0.61,0.9969,0.099,9.5,5
194,3.28,2.2,0.55,0.9964,0.071,9.7,5
195,3.28,2.2,0.55,0.9964,0.071,9.7,5
196,3.25,2,0.54,0.9968,0.074,9.4,5
197,3.46,2.4,0.59,0.9968,0.074,10.2,5
198,3.11,2,0.97,0.9981,0.067,10.1,6
199,3.57,1.2,0.85,0.9924,0.046,13,7
200,3.51,2.1,0.43,0.9948,0.061,11.4,4
201,3.22,1.4,0.82,0.99695,0.056,10.3,7
202,3.04,2.1,1.03,0.9975,0.097,9.3,5
203,3.36,1.5,0.79,0.99545,0.075,9.5,5
204,3.34,1.6,0.55,0.9961,0.088,9.2,5
205,3.34,1.6,0.56,0.99615,0.089,9.2,6
206,3.2,2.6,0.77,0.9994,0.095,10.8,7
207,3.2,2.6,0.77,0.9994,0.095,10.8,7
208,3.29,1.8,0.53,0.99625,0.069,9.3,5
209,3.22,2.7,0.67,0.9966,0.1,9.4,5
210,3.31,2.1,0.88,0.998,0.054,10.5,7
211,3.3,2,0.86,0.99585,0.039,12.4,6
212,3.35,2.8,0.56,0.99685,0.083,10,6
213,3.21,2.1,0.67,0.998,0.059,10.2,6
214,3.3,2.2,0.43,0.9959,0.06,10.1,5
215,3.24,2.4,0.71,0.9974,0.092,9.8,6
216,3.34,5.6,0.76,0.9974,0.06,10.5,5
217,3.14,2,0.57,0.9962,0.101,11,5
218,3.36,2.2,0.55,0.9967,0.072,9.1,5
219,3.39,1.9,0.54,0.9957,0.076,9.7,5
220,3.3,2.4,0.6,0.99655,0.08,9.5,5
221,3.34,2,0.59,0.9964,0.082,9.4,6
222,3.15,2,0.57,0.9957,0.101,9.4,5
223,3.42,1.5,0.6,0.99525,0.057,9.5,5
224,3.28,2,0.6,0.99815,0.083,10,6
225,3.31,2,0.57,0.99745,0.089,10.4,4
226,3.37,2.6,0.58,0.99615,0.073,10.5,6
227,3.04,2,1.61,0.9964,0.337,9.5,6
228,3.39,2.6,0.63,0.9984,0.089,9.8,5
229,3.37,2.6,0.58,0.99615,0.073,10.5,6
230,3.46,2.6,0.5,0.99685,0.081,11,5
231,3.54,1.6,0.62,0.9927,0.054,12.2,7
232,3.37,1.8,0.52,0.99625,0.078,9.9,6
233,3.34,2.8,0.7,0.998,0.09,9.6,6
234,3.46,2.6,0.5,0.99685,0.081,11,5
235,3.32,2.3,0.55,0.99685,0.065,9,6
236,3.37,1.9,0.58,0.99675,0.097,9,6
237,3.37,1.9,0.58,0.99675,0.097,9,6
238,3.37,1.9,0.58,0.99675,0.097,9.2,6
239,3.37,1.9,0.58,0.99675,0.097,9,6
240,3.32,2.3,0.55,0.99685,0.065,9,6
241,3,1.7,1.09,0.9971,0.263,9.3,5
242,3.14,2.1,0.71,0.99925,0.093,10.9,6
243,3.08,1.8,0.49,0.99565,0.102,9.8,6
244,3.07,2.2,0.84,1.00005,0.075,9.2,7
245,3.07,2.2,0.84,1.00005,0.075,9.2,7
246,3.61,2,0.96,0.9983,0.084,9.9,6
247,3.38,1.9,0.52,0.99685,0.075,9.5,5
248,3.2,2.3,0.45,0.9963,0.072,9.3,5
249,3.35,1.7,0.48,0.99615,0.074,9.8,6
250,3.61,2,0.96,0.9983,0.084,9.9,6
251,3.22,1.6,0.78,0.9985,0.063,10,6
252,3.47,1.8,0.7,0.9972,0.074,9.9,6
253,3.17,3.1,0.53,0.9986,0.09,10.5,5
254,3.23,1.9,0.59,0.9959,0.092,9.5,5
255,3.47,1.8,0.7,0.9972,0.074,9.9,6
256,3.26,3.2,0.57,0.99675,0.073,9.3,5
257,3.22,2.2,0.62,0.998,0.075,9.2,5
258,3.49,2.1,0.67,0.9968,0.075,9.2,5
259,3.06,1.8,1.26,0.9968,0.611,9.4,5
260,3.36,2.6,0.8,0.99965,0.085,10.5,7
261,3.29,1.7,0.65,0.99625,0.077,9.3,5
262,3.35,2,0.6,0.99565,0.087,9.4,4
263,3.34,1.7,0.57,0.99575,0.07,10,5
264,3.28,1.8,0.67,0.9963,0.077,9.3,5
265,3.08,2.4,0.87,0.9999,0.064,10.9,5
266,3.2,1.8,0.72,0.9968,0.071,10.2,7
267,3.6,3.3,0.72,1.00025,0.096,9.8,4
268,3.35,3.6,0.86,0.9973,0.078,12.8,8
269,3.69,3,0.91,0.9987,0.077,9.4,6
270,3.28,4,0.97,0.9996,0.104,10.1,6
271,3.36,4,0.67,0.9965,0.087,10.7,6
272,3.28,4,0.97,0.9996,0.104,10.1,6
273,3.22,4,0.78,0.99935,0.071,10.1,5
274,3.31,2.4,0.64,0.99735,0.076,9.4,5
275,3.38,7,0.77,0.99915,0.088,9.4,5
276,3.36,4,0.67,0.9965,0.087,10.7,6
277,3.69,3,0.91,0.9987,0.077,9.4,6
278,3.28,4,0.97,0.9996,0.104,10.1,6
279,3.23,6.4,0.82,0.9976,0.073,12.6,8
280,3.38,5.6,0.77,0.9991,0.087,10.5,7
281,3.12,3.6,0.82,0.9986,0.071,9.3,6
282,3.25,3.5,1.08,0.9972,0.358,9.9,7
